mlbId,title,quantity,condition,category,price,marketplaceUrl,imageStatus,notes
"MLB3939451361","Módulo De Comunicação Ttgo T-call, Sim800l Lilygo","1","novo","Placas e Microcontroladores","141.9","https://produto.mercadolivre.com.br/MLB-3939451361-modulo-de-comunicacao-ttgo-t-call-sim800l-lilygo_JM","needs-review","Imagem aguardando validao visual por an?ncio exato MLB; placeholder institucional usado no site p?blico."
"MLB5288925380","3x Kit Esp32 Sim800l Módulo Sem Fio Gprs T-call + Antena","3","novo","Placas e Microcontroladores","382","https://produto.mercadolivre.com.br/MLB-5288925380-3x-kit-esp32-sim800l-modulo-sem-fio-gprs-t-call-antena_JM","needs-review","Imagem aguardando validao visual por an?ncio exato MLB; placeholder institucional usado no site p?blico."
"MLB4417997973","Kit 2x Módulos Esp32 Ttgo T-call Sim800l + Antena (novo)","2","usado","Placas e Microcontroladores","245","https://produto.mercadolivre.com.br/MLB-4417997973-kit-2x-modulos-esp32-ttgo-t-call-sim800l-antena-novo_JM","needs-review","Imagem aguardando validao visual por an?ncio exato MLB; placeholder institucional usado no site p?blico."
"MLB5272829812","Módulo Gps Ublox Casa Da Robótica Gy-gps6mv2 Antena Cerâmica Arduino","1","novo","Placas e Microcontroladores","360.9","https://produto.mercadolivre.com.br/MLB-5272829812-modulo-gps-ublox-casa-da-robotica-gy-gps6mv2-antena-ceramica-arduino_JM","needs-review","Imagem aguardando validao visual por an?ncio exato MLB; placeholder institucional usado no site p?blico."
"MLB7070500932","Placa De Comunicação Lilygo Com Esp32 Ttgo T-call Sim800l","1","novo","Placas e Microcontroladores","151.9","https://produto.mercadolivre.com.br/MLB-7070500932-placa-de-comunicacao-lilygo-com-esp32-ttgo-t-call-sim800l_JM","needs-review","Imagem aguardando validao visual por an?ncio exato MLB; placeholder institucional usado no site p?blico."
"MLB3939446645","Contator Trifásico Elitek 32a 220v 3 Polos Modelo Ecp32a10m","1","novo","Automao e Comando","77.9","https://produto.mercadolivre.com.br/MLB-3939446645-contator-trifasico-elitek-32a-220v-3-polos-modelo-ecp32a10m_JM","needs-review","Imagem aguardando validao visual por an?ncio exato MLB; placeholder institucional usado no site p?blico."
"MLB3948176139","Kit 50 Conectores Fendido 16mm Split Bolt Cobre","50","novo","Conectores e Instalao","199.8","https://produto.mercadolivre.com.br/MLB-3948176139-kit-50-conectores-fendido-16mm-split-bolt-cobre_JM","needs-review","Imagem aguardando validao visual por an?ncio exato MLB; placeholder institucional usado no site p?blico."
"MLB3957971855","Kit Com 100 Prensa Cabos Pg9 Cinza - Vedação Ip68","100","novo","Conectores e Instalao","78.9","https://produto.mercadolivre.com.br/MLB-3957971855-kit-com-100-prensa-cabos-pg9-cinza-vedacao-ip68_JM","needs-review","Imagem aguardando validao visual por an?ncio exato MLB; placeholder institucional usado no site p?blico."
"MLB3963960643","10x Módulo Gps Ublox Gy-gps6mv2 Para Arduino, Drone E Esp","10","novo","Placas e Microcontroladores","360.9","https://produto.mercadolivre.com.br/MLB-3963960643-10x-modulo-gps-ublox-gy-gps6mv2-para-arduino-drone-e-esp_JM","needs-review","Imagem aguardando validao visual por an?ncio exato MLB; placeholder institucional usado no site p?blico."
"MLB3963996985","Kit Com 400 Resistores 10k Ohms 5% Tolerância","400","novo","Componentes Eletr?nicos","51.7","https://produto.mercadolivre.com.br/MLB-3963996985-kit-com-400-resistores-10k-ohms-5-tolerancia_JM","needs-review","Imagem aguardando validao visual por an?ncio exato MLB; placeholder institucional usado no site p?blico."
