item_id,title,seller_id,catalog_listing,catalog_product_id,status,permalink,reason,excluded_at
"MLB3963881443","Mini fonte 110-220 V AC 5 V DC 700 mA 3.5 W Arduino Esp8266","194516027","true","MLB32810542","pending-review","https://produto.mercadolivre.com.br/MLB-3963881443-mini-fonte-110-220v-ac-5v-dc-700ma-35w-arduino-esp8266-_JM","anúncio de catálogo excluído","2026-07-14T12:31:00.539Z"
"MLB3963871285","Modulo Rele 1 Canal Led Indicador para Arduino Pi Pic 5 V/10 A","194516027","true","MLB35503346","pending-review","https://produto.mercadolivre.com.br/MLB-3963871285-modulo-rele-1-canal-led-indicador-para-arduino-pi-pic-5v10a-_JM","anúncio de catálogo excluído; condição divergente entre cadastro, título ou descrição","2026-07-14T12:31:00.539Z"
"MLB5268530154","Mini fonte Chaveada Hi-link HLK-PM01 5 V / 3 W","194516027","true","MLB37963133","pending-review","https://produto.mercadolivre.com.br/MLB-5268530154-mini-fonte-chaveada-hi-link-hlk-pm01-5v-3w-_JM","anúncio de catálogo excluído","2026-07-14T12:31:00.539Z"
"MLB6747664922","Sensor de Corrente AC Não Invasivo AC SCT-013 100 A 50 mA","194516027","true","MLB65362044","pending-review","https://produto.mercadolivre.com.br/MLB-6747664922-sensor-de-corrente-ac-no-invasivo-ac-sct-013-100a-50ma-_JM","anúncio de catálogo excluído","2026-07-14T12:31:00.539Z"
"MLB4669505471","Filtro Supressor de Ruídos Eicos K-8 para Contatores 220 V","194516027","true","MLB62336368","pending-review","https://produto.mercadolivre.com.br/MLB-4669505471-filtro-supressor-de-ruidos-eicos-k-8-para-contatores-220v-_JM","anúncio de catálogo excluído","2026-07-14T12:31:00.539Z"
"MLB5268502882","Kit15 Conector Parafuso Fendido Emenda Cabos Split Bolt 16mm","194516027","true","MLB27767342","pending-review","https://produto.mercadolivre.com.br/MLB-5268502882-kit15-conector-parafuso-fendido-emenda-cabos-split-bolt-16mm-_JM","anúncio de catálogo excluído","2026-07-14T12:31:00.539Z"
"MLB4669565005","10x Varistor 14k 250vac (s14d391 / 14d391k250vac) Uso Geral","194516027","true","MLB43771269","pending-review","https://produto.mercadolivre.com.br/MLB-4669565005-10x-varistor-14k-250vac-s14d391-14d391k250vac-uso-geral-_JM","anúncio de catálogo excluído; imagem real do anúncio exato não verificada","2026-07-14T12:31:00.539Z"
"MLB4669476077","Mini fonte Chaveada Hi-link HLK-PM01 5 V / 3 W","194516027","true","MLB37963133","pending-review","https://produto.mercadolivre.com.br/MLB-4669476077-mini-fonte-chaveada-hi-link-hlk-pm01-5v-3w-_JM","anúncio de catálogo excluído","2026-07-14T12:31:00.539Z"
"MLB5272829812","Módulo GPS Ublox Casa da Robótica Gy-gps6mv2 Antena Cerâmica Arduino","194516027","true","MLB36183342","pending-review","https://produto.mercadolivre.com.br/MLB-5272829812-modulo-gps-ublox-casa-da-robotica-gy-gps6mv2-antena-cermica-arduino-_JM","anúncio de catálogo excluído","2026-07-14T12:31:00.539Z"
"MLB5272662416","Contator Hs Automação Trifásico 4011 40 A 3p +1na+1nf 220 V","194516027","true","MLB28499266","pending-review","https://produto.mercadolivre.com.br/MLB-5272662416-contator-hs-automaco-trifasico-4011-40a-3p-1na1nf-220v-_JM","anúncio de catálogo excluído","2026-07-14T12:31:00.539Z"
"MLB6747663478","Mini fonte Chaveada Hi-link HLK-PM01 5 V / 3 W","194516027","true","MLB37963133","pending-review","https://produto.mercadolivre.com.br/MLB-6747663478-mini-fonte-chaveada-hi-link-hlk-pm01-5v-3w-_JM","anúncio de catálogo excluído","2026-07-14T12:31:00.539Z"
"MLB4669465397","Sensor de Corrente AC Não Invasivo AC SCT-013 100 A 50 mA","194516027","true","MLB65362044","pending-review","https://produto.mercadolivre.com.br/MLB-4669465397-sensor-de-corrente-ac-no-invasivo-ac-sct-013-100a-50ma-_JM","anúncio de catálogo excluído","2026-07-14T12:31:00.539Z"
"MLB3939446645","Contator Trifásico Elitek 32 A 220 V 3 Polos Modelo Ecp32a10m","194516027","true","MLB27627812","pending-review","https://produto.mercadolivre.com.br/MLB-3939446645-contator-trifasico-elitek-32a-220v-3-polos-modelo-ecp32a10m-_JM","anúncio de catálogo excluído","2026-07-14T12:31:00.539Z"
"MLB4832454317","Mini fonte Chaveada Hi-link HLK-PM01 5 V / 3 W","194516027","true","MLB37963133","pending-review","https://produto.mercadolivre.com.br/MLB-4832454317-mini-fonte-chaveada-hi-link-hlk-pm01-5v-3w-_JM","anúncio de catálogo excluído","2026-07-14T12:31:00.539Z"
"MLB5265377782","Conector Split Bolt 16mm² Intelli Cobre Eletrolítico Alta Condutibilidade","194516027","true","MLB29133461","pending-review","https://produto.mercadolivre.com.br/MLB-5265377782-conector-split-bolt-16mm-intelli-cobre-eletrolitico-alta-condutibilidade-_JM","anúncio de catálogo excluído","2026-07-14T12:31:00.539Z"
"MLB4875918503","Módulo GPS NEO-6M V2 com Antena Compatível Arduino ESP32 Esp8266 Raspberry Pi Rastreamento Navegação Telemetria Drone Robótica Geolocalização Projetos Blutu","194516027","true","MLB65903929","pending-review","https://produto.mercadolivre.com.br/MLB-4875918503-modulo-gps-neo-6m-v2-com-antena-compativel-arduino-esp32-esp8266-raspberry-pi-rastreamento-navegaco-telemetria-drone-robotica-geolocalizaco-projetos-blutu-_JM","anúncio de catálogo excluído","2026-07-14T12:31:00.539Z"
