mlbId,title,status,reviewStatus,imageStatus,condition,quantity,price,category,familyId,blockingIssues,permalink
"MLB5272637504","Kit 30 Placas de Fenolite Ilhada 5x7 Cm Pcb Perfurada","published","approved","verified","novo","30","69.9","Componentes Eletrônicos","","","https://produto.mercadolivre.com.br/MLB-5272637504-kit-30-placas-de-fenolite-ilhada-5x7-cm-pcb-perfurada-_JM"
"MLB6747664468","Gerador de Função Minipa 2mhz Mfg-4202 A Portátil Manual 2kg","pending-review","blocked","pending-review","usado","1","819","Instrumentos de Bancada","instrumentos-e-fontes","imagem real do anúncio exato não verificada; especificações suspeitas exigem revisão","https://produto.mercadolivre.com.br/MLB-6747664468-gerador-de-funco-minipa-2mhz-mfg-4202a-portatil-manual-2kg-_JM"
"MLB4508250345","Carcaça Acer Aspire 5 A515-54 Prateado","pending-review","blocked","verified","usado","1","200","Componentes Eletrônicos","","especificações suspeitas exigem revisão","https://produto.mercadolivre.com.br/MLB-4508250345-carcaca-acer-aspire-5-a515-54-prateado-_JM"
"MLB3963856949","Kit com 50 Abraçadeiras Plásticas Fixadoras de Fios 11 A 15m","pending-review","blocked","pending-review","novo","50","69.9","Componentes Eletrônicos","","imagem real do anúncio exato não verificada","https://produto.mercadolivre.com.br/MLB-3963856949-kit-com-50-abracadeiras-plasticas-fixadoras-de-fios-11-a-15m-_JM"
"MLB5268487034","Fonte de Alimentação DC Hikari Hf-3205s 32 V/5 A P/bancadas","published","approved","verified","usado","1","732","Instrumentos de Bancada","instrumentos-e-fontes","","https://produto.mercadolivre.com.br/MLB-5268487034-fonte-de-alimentaco-dc-hikari-hf-3205s-32v5a-pbancadas-_JM"
"MLB5272769886","Retificador 220 V Saída 5 V DC 700 mA AC DC Step Down Fonte 5 V","published","approved","verified","novo","1","33","Instrumentos de Bancada","instrumentos-e-fontes","","https://produto.mercadolivre.com.br/MLB-5272769886-retificador-220v-saida-5v-dc-700ma-ac-dc-step-down-fonte-5v-_JM"
"MLB5272831698","Kit com 6 Pigtail U.fi Ipx para Rp-sma Femêa com 10 Cm","pending-review","blocked","pending-review","novo","6","59.9","Conectores e Instalação","","imagem real do anúncio exato não verificada","https://produto.mercadolivre.com.br/MLB-5272831698-kit-com-6-pigtail-ufi-ipx-para-rp-sma-fema-com-10-cm-_JM"
"MLB5288865822","Kit com 3 Transformador de Corrente AC Não Invasivo ZMCT123A","published","approved","verified","novo","3","49.18","Sensores e Medição","sensores-de-corrente","","https://produto.mercadolivre.com.br/MLB-5288865822-kit-com3x-transformador-de-corrente-ac-no-invasivo-zmct123a-_JM"
"MLB5249469476","Kit 500 Reguladores de Tensão Ams1117 Smd 3,3 V","published","approved","verified","novo","500","199.9","Instrumentos de Bancada","instrumentos-e-fontes","","https://produto.mercadolivre.com.br/MLB-5249469476-kit-500-reguladores-de-tenso-ams1117-smd-33v-_JM"
"MLB3963996985","Kit com 400 Resistores 10 Kω 5% Tolerância","published","approved","verified","novo","400","51.7","Componentes Eletrônicos","","","https://produto.mercadolivre.com.br/MLB-3963996985-kit-com-400-resistores-10k-ohms-5-tolerncia-_JM"
"MLB3963883507","2 Módulos Relé 1 Canal 5 V/10 A para Projetos Arduino e Iot","pending-review","blocked","verified","novo","1","25.78","Automação e Comando","","quantidade divergente: cadastro=1, texto=2","https://produto.mercadolivre.com.br/MLB-3963883507-2-modulos-rele-1-canal-5v10a-para-projetos-arduino-e-iot-_JM"
"MLB5272672830","50 Lacres de Segurança Amarelos com Arame Aço 30cm Numerados Amarelo","pending-review","blocked","verified","novo","1","49.02","Automação e Comando","","quantidade divergente: cadastro=1, texto=50; especificações suspeitas exigem revisão","https://produto.mercadolivre.com.br/MLB-5272672830-50-lacres-de-seguranca-amarelos-com-arame-aco-30cm-numerados-amarelo-_JM"
"MLB3964028995","Kit com 400 Resistores 100 Kω 5% Filme de Carbono","published","approved","verified","novo","400","51.8","Componentes Eletrônicos","","","https://produto.mercadolivre.com.br/MLB-3964028995-kit-com-400-resistores-100k-ohms-5-filme-de-carbono-_JM"
"MLB4669500229","Fonte de Alimentação DC Variável Bancada Hikari 3 A Hf-3203s","pending-review","blocked","verified","usado","1","645.3","Instrumentos de Bancada","instrumentos-e-fontes","especificações suspeitas exigem revisão","https://produto.mercadolivre.com.br/MLB-4669500229-fonte-de-alimentaco-dc-variavel-bancada-hikari-3a-hf-3203s-_JM"
"MLB5268530154","Mini fonte Chaveada Hi-link HLK-PM01 5 V / 3 W","published","approved","verified","novo","1","33","Fontes e Alimentação","hi-link-hlk-pm01","","https://produto.mercadolivre.com.br/MLB-5268530154-mini-fonte-chaveada-hi-link-hlk-pm01-5v-3w-_JM"
"MLB3948192369","Kit 10 Mini fonte Chaveada Hi-link HLK-PM01 - 5 V 3 W","published","approved","verified","novo","10","239.9","Fontes e Alimentação","hi-link-hlk-pm01","","https://produto.mercadolivre.com.br/MLB-3948192369-kit-10-mini-fonte-chaveada-hi-link-hlk-pm01-5v-3w-_JM"
"MLB3963907335","Mini fonte 5 V 3 W Conversor AC/dc 310 V Compacta e Eficiente Preto","pending-review","blocked","verified","novo","1","22.75","Instrumentos de Bancada","instrumentos-e-fontes","especificações suspeitas exigem revisão","https://produto.mercadolivre.com.br/MLB-3963907335-mini-fonte-5v-3w-conversor-acdc-310v-compacta-e-eficiente-preto-_JM"
"MLB3963881443","Mini fonte 110-220 V AC 5 V DC 700 mA 3.5 W Arduino Esp8266","published","approved","verified","novo","1","21.9","Instrumentos de Bancada","instrumentos-e-fontes","","https://produto.mercadolivre.com.br/MLB-3963881443-mini-fonte-110-220v-ac-5v-dc-700ma-35w-arduino-esp8266-_JM"
"MLB3963871285","Modulo Rele 1 Canal Led Indicador para Arduino Pi Pic 5 V/10 A","pending-review","blocked","verified","novo","1","25.78","Conectores e Instalação","","condição divergente entre cadastro, título ou descrição","https://produto.mercadolivre.com.br/MLB-3963871285-modulo-rele-1-canal-led-indicador-para-arduino-pi-pic-5v10a-_JM"
