mlbId,title,reason
"MLB3963856949","Kit Com 50 Abraçadeiras Plásticas Fixadoras De Fios 11 A 15m","image-too-small"
"MLB6747664468","Gerador De Função Minipa 2mhz Mfg-4202a Portátil Manual 2kg","image-too-small"
"MLB5272831698","Kit Com 6 Pigtail U.fi Ipx Para Rp-sma Femêa Com 10 Cm","image-too-small"
"MLB6747664364","Gerador De Função Minipa 2mhz Mfg-4202a Portátil Manual 2kg","image-too-small"
"MLB4669505143","50x Varistor 14k 250vac (s14d391 / 14d391k250vac) Uso Geral","image-too-small"
"MLB4417997973","Kit 2x Módulos Esp32 Ttgo T-call Sim800l + Antena (novo)","http-429"
"MLB5375698778","Kit 10x Módulos Esp32 Ttgo T-call Sim800l + Antena (novo)","http-429"
"MLB5268502876","Kit 15 Conectores Split Bolt 16mm Fendido P/emenda De Cabos","http-429"
"MLB4669565005","10x Varistor 14k 250vac (s14d391 / 14d391k250vac) Uso Geral","image-too-small"
"MLB4669478861","40x Chave Micro Switch Kw1-103 15a 125vac / 16a 250vac Preto","http-429"
"MLB5272894966","Kit 200 Barra De Pinos - Fêmea - 1x15 - 2,54mm - Pic/arduino Preto","http-429"
"MLB7141642274","Bateria Para Notebook Acer Aspire Ap18c8k 4471 Mah Original Preto","image-too-small"
