mlbId,title,status,reason
"MLB3939451361","Módulo De Comunicação Ttgo T-call, Sim800l Lilygo","pending-review","imagem real do anúncio exato não verificada"
"MLB5288925380","3x Kit Esp32 Sim800l Módulo Sem Fio Gprs T-call + Antena","pending-review","imagem real do anúncio exato não verificada"
"MLB4417997973","Kit 2x Módulos Esp32 Ttgo T-call Sim800l + Antena (novo)","pending-review","imagem real do anúncio exato não verificada; quantidade divergente: cadastro=2, texto=5; condição divergente entre cadastro, título ou descrição"
"MLB5272829812","Módulo Gps Ublox Casa Da Robótica Gy-gps6mv2 Antena Cerâmica Arduino","pending-review","imagem real do anúncio exato não verificada"
"MLB7070500932","Placa De Comunicação Lilygo Com Esp32 Ttgo T-call Sim800l","pending-review","imagem real do anúncio exato não verificada"
"MLB3939446645","Contator Trifásico Elitek 32a 220v 3 Polos Modelo Ecp32a10m","pending-review","imagem real do anúncio exato não verificada"
"MLB3948176139","Kit 50 Conectores Fendido 16mm Split Bolt Cobre","pending-review","imagem real do anúncio exato não verificada"
"MLB3957971855","Kit Com 100 Prensa Cabos Pg9 Cinza - Vedação Ip68","pending-review","imagem real do anúncio exato não verificada"
"MLB3963960643","10x Módulo Gps Ublox Gy-gps6mv2 Para Arduino, Drone E Esp","pending-review","imagem real do anúncio exato não verificada"
"MLB3963996985","Kit Com 400 Resistores 10k Ohms 5% Tolerância","pending-review","imagem real do anúncio exato não verificada"
"MLB3964028995","Kit Com 400 Resistores 100k Ohms 5% Filme De Carbono","pending-review","imagem real do anúncio exato não verificada"
"MLB3964934307","Kit Com 9 Sensores De Corrente Ac Zmct123a Não Invasivos","pending-review","imagem real do anúncio exato não verificada"
"MLB4051929221","Kit 20x Módulos Esp32 Ttgo T-call Sim800l + Antena","pending-review","imagem real do anúncio exato não verificada"
"MLB4051985849","Kit 10x Módulos Esp32 Ttgo T-call Sim800l + Antena (novo)","pending-review","imagem real do anúncio exato não verificada"
"MLB4669463663","10x Mini Fonte Chaveada Hi-link Hlk-pm01 5v / 3w","pending-review","imagem real do anúncio exato não verificada"
"MLB4669463945","Kit 10un Mini Fonte Hi Link Hlk-pm01 110-220vac - 5vdc","pending-review","imagem real do anúncio exato não verificada"
