mlbId,status,title,price,imageStatus,format,path,exists,width,height,issue
"MLB5272637504","published","Kit 30 Placas De Fenolite Ilhada 5x7 Cm Pcb Perfurada","R$ 69,90","verified","avif","public/products/MLB5272637504/optimized/main.avif","yes","467","500",""
"MLB5272637504","published","Kit 30 Placas De Fenolite Ilhada 5x7 Cm Pcb Perfurada","R$ 69,90","verified","webp","public/products/MLB5272637504/optimized/main.webp","yes","467","500",""
"MLB5272637504","published","Kit 30 Placas De Fenolite Ilhada 5x7 Cm Pcb Perfurada","R$ 69,90","verified","jpg","public/products/MLB5272637504/optimized/main.jpg","yes","467","500",""
"MLB6747664468","pending-review","Gerador De Função Minipa 2mhz Mfg-4202a Portátil Manual 2kg","R$ 819,00","pending-review","avif","public/products/MLB6747664468/optimized/main.avif","no","","",""
"MLB6747664468","pending-review","Gerador De Função Minipa 2mhz Mfg-4202a Portátil Manual 2kg","R$ 819,00","pending-review","webp","public/products/MLB6747664468/optimized/main.webp","no","","",""
"MLB6747664468","pending-review","Gerador De Função Minipa 2mhz Mfg-4202a Portátil Manual 2kg","R$ 819,00","pending-review","jpg","public/products/MLB6747664468/optimized/main.jpg","no","","",""
"MLB4508250345","pending-review","Carcaça Acer Aspire 5 A515-54 Prateado","R$ 200,00","verified","avif","public/products/MLB4508250345/optimized/main.avif","yes","330","500",""
"MLB4508250345","pending-review","Carcaça Acer Aspire 5 A515-54 Prateado","R$ 200,00","verified","webp","public/products/MLB4508250345/optimized/main.webp","yes","330","500",""
"MLB4508250345","pending-review","Carcaça Acer Aspire 5 A515-54 Prateado","R$ 200,00","verified","jpg","public/products/MLB4508250345/optimized/main.jpg","yes","330","500",""
"MLB3963856949","pending-review","Kit Com 50 Abraçadeiras Plásticas Fixadoras De Fios 11 A 15m","R$ 69,90","pending-review","avif","public/products/MLB3963856949/optimized/main.avif","no","","",""
"MLB3963856949","pending-review","Kit Com 50 Abraçadeiras Plásticas Fixadoras De Fios 11 A 15m","R$ 69,90","pending-review","webp","public/products/MLB3963856949/optimized/main.webp","no","","",""
"MLB3963856949","pending-review","Kit Com 50 Abraçadeiras Plásticas Fixadoras De Fios 11 A 15m","R$ 69,90","pending-review","jpg","public/products/MLB3963856949/optimized/main.jpg","no","","",""
"MLB5268487034","published","Fonte De Alimentação Dc Hikari Hf-3205s  32v/5a P/bancadas","R$ 732,00","verified","avif","public/products/MLB5268487034/optimized/main.avif","yes","362","500",""
"MLB5268487034","published","Fonte De Alimentação Dc Hikari Hf-3205s  32v/5a P/bancadas","R$ 732,00","verified","webp","public/products/MLB5268487034/optimized/main.webp","yes","362","500",""
"MLB5268487034","published","Fonte De Alimentação Dc Hikari Hf-3205s  32v/5a P/bancadas","R$ 732,00","verified","jpg","public/products/MLB5268487034/optimized/main.jpg","yes","362","500",""
"MLB5272769886","published","Retificador 220v Saída 5v Dc 700ma Ac Dc Step Down Fonte 5v","R$ 33,00","verified","avif","public/products/MLB5272769886/optimized/main.avif","yes","461","500",""
"MLB5272769886","published","Retificador 220v Saída 5v Dc 700ma Ac Dc Step Down Fonte 5v","R$ 33,00","verified","webp","public/products/MLB5272769886/optimized/main.webp","yes","461","500",""
"MLB5272769886","published","Retificador 220v Saída 5v Dc 700ma Ac Dc Step Down Fonte 5v","R$ 33,00","verified","jpg","public/products/MLB5272769886/optimized/main.jpg","yes","461","500",""
"MLB5272831698","pending-review","Kit Com 6 Pigtail U.fi Ipx Para Rp-sma Femêa Com 10 Cm","R$ 59,90","pending-review","avif","public/products/MLB5272831698/optimized/main.avif","no","","",""
"MLB5272831698","pending-review","Kit Com 6 Pigtail U.fi Ipx Para Rp-sma Femêa Com 10 Cm","R$ 59,90","pending-review","webp","public/products/MLB5272831698/optimized/main.webp","no","","",""
"MLB5272831698","pending-review","Kit Com 6 Pigtail U.fi Ipx Para Rp-sma Femêa Com 10 Cm","R$ 59,90","pending-review","jpg","public/products/MLB5272831698/optimized/main.jpg","no","","",""
"MLB5288865822","published","Kit Com3x Transformador De Corrente Ac Não Invasivo Zmct123a","R$ 49,18","verified","avif","public/products/MLB5288865822/optimized/main.avif","yes","500","500",""
"MLB5288865822","published","Kit Com3x Transformador De Corrente Ac Não Invasivo Zmct123a","R$ 49,18","verified","webp","public/products/MLB5288865822/optimized/main.webp","yes","500","500",""
"MLB5288865822","published","Kit Com3x Transformador De Corrente Ac Não Invasivo Zmct123a","R$ 49,18","verified","jpg","public/products/MLB5288865822/optimized/main.jpg","yes","500","500",""
"MLB5249469476","published","Kit 500 Reguladores De Tensão Ams1117 Smd 3,3v","R$ 199,90","verified","avif","public/products/MLB5249469476/optimized/main.avif","yes","500","459",""
"MLB5249469476","published","Kit 500 Reguladores De Tensão Ams1117 Smd 3,3v","R$ 199,90","verified","webp","public/products/MLB5249469476/optimized/main.webp","yes","500","459",""
"MLB5249469476","published","Kit 500 Reguladores De Tensão Ams1117 Smd 3,3v","R$ 199,90","verified","jpg","public/products/MLB5249469476/optimized/main.jpg","yes","500","459",""
"MLB3963996985","published","Kit Com 400 Resistores 10k Ohms 5% Tolerância","R$ 51,70","verified","avif","public/products/MLB3963996985/optimized/main.avif","yes","500","486",""
"MLB3963996985","published","Kit Com 400 Resistores 10k Ohms 5% Tolerância","R$ 51,70","verified","webp","public/products/MLB3963996985/optimized/main.webp","yes","500","486",""
"MLB3963996985","published","Kit Com 400 Resistores 10k Ohms 5% Tolerância","R$ 51,70","verified","jpg","public/products/MLB3963996985/optimized/main.jpg","yes","500","486",""
"MLB3963883507","pending-review","2 Módulos Relé 1 Canal 5v/10a Para Projetos Arduino E Iot","R$ 25,78","verified","avif","public/products/MLB3963883507/optimized/main.avif","yes","494","500",""
"MLB3963883507","pending-review","2 Módulos Relé 1 Canal 5v/10a Para Projetos Arduino E Iot","R$ 25,78","verified","webp","public/products/MLB3963883507/optimized/main.webp","yes","494","500",""
"MLB3963883507","pending-review","2 Módulos Relé 1 Canal 5v/10a Para Projetos Arduino E Iot","R$ 25,78","verified","jpg","public/products/MLB3963883507/optimized/main.jpg","yes","494","500",""
"MLB5272672830","pending-review","50 Lacres De Segurança Amarelos Com Arame Aço 30cm Numerados Amarelo","R$ 49,02","verified","avif","public/products/MLB5272672830/optimized/main.avif","yes","302","500",""
"MLB5272672830","pending-review","50 Lacres De Segurança Amarelos Com Arame Aço 30cm Numerados Amarelo","R$ 49,02","verified","webp","public/products/MLB5272672830/optimized/main.webp","yes","302","500",""
"MLB5272672830","pending-review","50 Lacres De Segurança Amarelos Com Arame Aço 30cm Numerados Amarelo","R$ 49,02","verified","jpg","public/products/MLB5272672830/optimized/main.jpg","yes","302","500",""
"MLB3964028995","published","Kit Com 400 Resistores 100k Ohms 5% Filme De Carbono","R$ 51,80","verified","avif","public/products/MLB3964028995/optimized/main.avif","yes","500","383",""
"MLB3964028995","published","Kit Com 400 Resistores 100k Ohms 5% Filme De Carbono","R$ 51,80","verified","webp","public/products/MLB3964028995/optimized/main.webp","yes","500","383",""
"MLB3964028995","published","Kit Com 400 Resistores 100k Ohms 5% Filme De Carbono","R$ 51,80","verified","jpg","public/products/MLB3964028995/optimized/main.jpg","yes","500","383",""
"MLB4669500229","pending-review","Fonte De Alimentação Dc Variável Bancada Hikari 3a Hf-3203s","R$ 645,30","verified","avif","public/products/MLB4669500229/optimized/main.avif","yes","484","500",""
"MLB4669500229","pending-review","Fonte De Alimentação Dc Variável Bancada Hikari 3a Hf-3203s","R$ 645,30","verified","webp","public/products/MLB4669500229/optimized/main.webp","yes","484","500",""
"MLB4669500229","pending-review","Fonte De Alimentação Dc Variável Bancada Hikari 3a Hf-3203s","R$ 645,30","verified","jpg","public/products/MLB4669500229/optimized/main.jpg","yes","484","500",""
"MLB5268530154","published","Mini Fonte Chaveada Hi-link Hlk-pm01 5v / 3w","R$ 33,00","verified","avif","public/products/MLB5268530154/optimized/main.avif","yes","500","436",""
"MLB5268530154","published","Mini Fonte Chaveada Hi-link Hlk-pm01 5v / 3w","R$ 33,00","verified","webp","public/products/MLB5268530154/optimized/main.webp","yes","500","436",""
"MLB5268530154","published","Mini Fonte Chaveada Hi-link Hlk-pm01 5v / 3w","R$ 33,00","verified","jpg","public/products/MLB5268530154/optimized/main.jpg","yes","500","436",""
"MLB3948192369","published","Kit 10 Mini Fonte Chaveada Hi-link Hlk-pm01 - 5v 3w","R$ 239,90","verified","avif","public/products/MLB3948192369/optimized/main.avif","yes","500","436",""
"MLB3948192369","published","Kit 10 Mini Fonte Chaveada Hi-link Hlk-pm01 - 5v 3w","R$ 239,90","verified","webp","public/products/MLB3948192369/optimized/main.webp","yes","500","436",""
"MLB3948192369","published","Kit 10 Mini Fonte Chaveada Hi-link Hlk-pm01 - 5v 3w","R$ 239,90","verified","jpg","public/products/MLB3948192369/optimized/main.jpg","yes","500","436",""
"MLB3963907335","pending-review","Mini Fonte 5v 3w Conversor Ac/dc 310v Compacta E Eficiente Preto","R$ 22,75","verified","avif","public/products/MLB3963907335/optimized/main.avif","yes","500","409",""
"MLB3963907335","pending-review","Mini Fonte 5v 3w Conversor Ac/dc 310v Compacta E Eficiente Preto","R$ 22,75","verified","webp","public/products/MLB3963907335/optimized/main.webp","yes","500","409",""
"MLB3963907335","pending-review","Mini Fonte 5v 3w Conversor Ac/dc 310v Compacta E Eficiente Preto","R$ 22,75","verified","jpg","public/products/MLB3963907335/optimized/main.jpg","yes","500","409",""
"MLB3963881443","published","Mini Fonte 110-220v Ac 5v Dc 700ma 3.5w Arduino Esp8266","R$ 21,90","verified","avif","public/products/MLB3963881443/optimized/main.avif","yes","500","487",""
