file,title,description,canonical,jsonLdCount,issue
"dist\404.html","Página não encontrada | OMEGAIMPORTS","Página não encontrada. Consulte o catálogo técnico da OMEGAIMPORTS e confirme as condições no anúncio oficial do Mercado Livre.","https://luscaarmstrong1.github.io/omegaimports-catalogo/404.html","2",""
"dist\aplicacoes\index.html","Aplicações agora ficam no catálogo | OMEGAIMPORTS","Use os filtros e a busca para navegar por aplicação.","https://luscaarmstrong1.github.io/omegaimports-catalogo/aplicacoes/","2",""
"dist\blog\como-criar-sistemas-iot-para-locais-sem-wi-fi\index.html","Como criar sistemas IoT para locais sem Wi-Fi | OMEGAIMPORTS","Sem roteador não significa sem conectividade: redes celulares, LoRaWAN, armazenamento local e uma arquitetura preparada para falhas permitem levar sensores e automação.","https://luscaarmstrong1.github.io/omegaimports-catalogo/blog/como-criar-sistemas-iot-para-locais-sem-wi-fi/","3",""
"dist\blog\esp32-por-que-esse-microcontrolador-se-tornou-tao-importante-para-projetos-iot\index.html","ESP32: por que esse microcontrolador se tornou tão importante… | OMEGAIMPORTS","Wi-Fi, Bluetooth, capacidade de processamento, diversos periféricos e um ecossistema de desenvolvimento maduro ajudaram o ESP32 a ocupar um espaço importante entre a.","https://luscaarmstrong1.github.io/omegaimports-catalogo/blog/esp32-por-que-esse-microcontrolador-se-tornou-tao-importante-para-projetos-iot/","3",""
"dist\blog\esp32-sim800l-quando-usar-comunicacao-gsm-gprs-em-vez-de-wi-fi\index.html","ESP32 + SIM800L: quando usar comunicação GSM/GPRS em vez de… | OMEGAIMPORTS","Quando o projeto precisa funcionar longe de roteadores e redes locais, a comunicação celular pode ser uma alternativa útil, mas cobertura 2G, alimentação elétrica e.","https://luscaarmstrong1.github.io/omegaimports-catalogo/blog/esp32-sim800l-quando-usar-comunicacao-gsm-gprs-em-vez-de-wi-fi/","3",""
"dist\blog\index.html","Blog técnico | OMEGAIMPORTS","Guias práticos sobre eletrônica, IoT, sensores, fontes, automação e prototipagem.","https://luscaarmstrong1.github.io/omegaimports-catalogo/blog/","3",""
"dist\blog\telemetria-industrial-como-sensores-e-conectividade-podem-transformar-manutencao-e-monit\index.html","Telemetria industrial: como sensores e conectividade podem… | OMEGAIMPORTS","Ao combinar sensores, processamento local, comunicação e análise de dados, a telemetria permite acompanhar ativos a distância, detectar desvios mais cedo e transformar.","https://luscaarmstrong1.github.io/omegaimports-catalogo/blog/telemetria-industrial-como-sensores-e-conectividade-podem-transformar-manutencao-e-monit/","3",""
"dist\blog\ttgo-t-call-esp32-e-comunicacao-movel-em-uma-unica-placa\index.html","TTGO T-Call: ESP32 e comunicação móvel em uma única placa | OMEGAIMPORTS","Ao integrar ESP32 e modem SIM800L na mesma plataforma, a TTGO T-Call simplifica protótipos de telemetria, rastreamento e IoT celular, desde que alimentação, revisão da.","https://luscaarmstrong1.github.io/omegaimports-catalogo/blog/ttgo-t-call-esp32-e-comunicacao-movel-em-uma-unica-placa/","3",""
"dist\blog\wi-fi-bluetooth-gsm-e-lora-qual-tecnologia-escolher-para-seu-projeto-iot\index.html","Wi-Fi, Bluetooth, GSM e LoRa: qual tecnologia escolher para… | OMEGAIMPORTS","Não existe uma comunicação “melhor” para todo projeto: alcance, consumo, mobilidade, infraestrutura, volume de dados e vida útil da solução determinam quando Wi-Fi,.","https://luscaarmstrong1.github.io/omegaimports-catalogo/blog/wi-fi-bluetooth-gsm-e-lora-qual-tecnologia-escolher-para-seu-projeto-iot/","3",""
"dist\categorias\automacao-e-comando\index.html","Automação e comando | OMEGAIMPORTS","Contatores, relés, supressores e componentes de comando.","https://luscaarmstrong1.github.io/omegaimports-catalogo/categorias/automacao-e-comando/","2",""
"dist\categorias\componentes-eletronicos\index.html","Componentes eletrônicos | OMEGAIMPORTS","Resistores, varistores, headers, chaves e placas de prototipagem.","https://luscaarmstrong1.github.io/omegaimports-catalogo/categorias/componentes-eletronicos/","2",""
"dist\categorias\conectores-e-instalacao\index.html","Conectores e instalação | OMEGAIMPORTS","Split Bolt, prensa-cabos, conectores e itens de montagem.","https://luscaarmstrong1.github.io/omegaimports-catalogo/categorias/conectores-e-instalacao/","2",""
"dist\categorias\fontes-e-alimentacao\index.html","Fontes e alimentação | OMEGAIMPORTS","Fontes AC/DC, reguladores e alimentação compacta para circuitos.","https://luscaarmstrong1.github.io/omegaimports-catalogo/categorias/fontes-e-alimentacao/","2",""
"dist\categorias\gps-e-localizacao\index.html","GPS e localização | OMEGAIMPORTS","Módulos GPS e antenas para rastreamento, telemetria e navegação.","https://luscaarmstrong1.github.io/omegaimports-catalogo/categorias/gps-e-localizacao/","2",""
"dist\categorias\index.html","Categorias | OMEGAIMPORTS","Categorias técnicas do catálogo OMEGAIMPORTS. Consulte o catálogo técnico da OMEGAIMPORTS e confirme as condições no anúncio oficial do Mercado Livre.","https://luscaarmstrong1.github.io/omegaimports-catalogo/categorias/","2",""
"dist\categorias\instrumentos-de-bancada\index.html","Instrumentos de bancada | OMEGAIMPORTS","Fontes de bancada, geradores de função e instrumentos de teste.","https://luscaarmstrong1.github.io/omegaimports-catalogo/categorias/instrumentos-de-bancada/","2",""
"dist\categorias\iot-gsm-e-comunicacao\index.html","IoT, GSM e comunicação | OMEGAIMPORTS","GSM/GPRS, RF, antenas, pigtails e conectividade para telemetria.","https://luscaarmstrong1.github.io/omegaimports-catalogo/categorias/iot-gsm-e-comunicacao/","2",""
"dist\categorias\sensores-e-medicao\index.html","Sensores e medição | OMEGAIMPORTS","Sensores de corrente, transformadores e leitura de energia.","https://luscaarmstrong1.github.io/omegaimports-catalogo/categorias/sensores-e-medicao/","2",""
"dist\como-comprar\index.html","Como comprar | OMEGAIMPORTS","Encontre o produto, confira modelo e condição, abra o anúncio oficial e finalize a compra pelo Mercado Livre.","https://luscaarmstrong1.github.io/omegaimports-catalogo/como-comprar/","2",""
"dist\contato\index.html","Contato | OMEGAIMPORTS","Canais oficiais da OMEGAIMPORTS: WhatsApp, Mercado Livre e LinkedIn.","https://luscaarmstrong1.github.io/omegaimports-catalogo/contato/","2",""
"dist\duvidas-frequentes\index.html","Dúvidas frequentes | OMEGAIMPORTS","Encontre respostas sobre compra, pagamento, entrega, pós-venda e atendimento da OMEGAIMPORTS.","https://luscaarmstrong1.github.io/omegaimports-catalogo/duvidas-frequentes/","2",""
"dist\familias\index.html","Famílias agora ficam no catálogo | OMEGAIMPORTS","Use os filtros de família na página de produtos. Consulte o catálogo técnico da OMEGAIMPORTS e confirme as condições no anúncio oficial do Mercado Livre.","https://luscaarmstrong1.github.io/omegaimports-catalogo/familias/","2",""
"dist\guias\index.html","Guias técnicos migraram para o Blog | OMEGAIMPORTS","Os guias foram reorganizados como artigos editoriais.","https://luscaarmstrong1.github.io/omegaimports-catalogo/guias/","2",""
"dist\index.html","Componentes eletrônicos, IoT e automação | OMEGAIMPORTS","Componentes eletrônicos, sensores, fontes, módulos IoT e automação da OMEGAIMPORTS, com compra pelo Mercado Livre e atendimento pelo WhatsApp.","https://luscaarmstrong1.github.io/omegaimports-catalogo/","2",""
"dist\politica-de-privacidade\index.html","Política de privacidade | OMEGAIMPORTS","Este site é uma vitrine estática. Não cria contas, não processa pagamentos e não armazena dados de checkout.","https://luscaarmstrong1.github.io/omegaimports-catalogo/politica-de-privacidade/","2",""
"dist\produtos\10x-mini-fonte-chaveada-hi-link-hlk-pm01-5-v-3-w-mlb4669463663\index.html","10x Mini fonte Chaveada Hi-link HLK-PM01 5 V / 3 W | OMEGAIMPORTS","10x Mini fonte Chaveada Hi-link HLK-PM01 5 V / 3 W","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/10x-mini-fonte-chaveada-hi-link-hlk-pm01-5-v-3-w-mlb4669463663/","4",""
"dist\produtos\10x-modulo-gps-ublox-gy-gps6mv2-para-arduino-drone-e-esp-mlb3963960643\index.html","10x Módulo GPS Ublox Gy-gps6mv2 para Arduino, Drone e Esp | OMEGAIMPORTS","VENDA DE KIT O ENVIO VAI SER DE 10 UNIDADES Módulo GPS Ublox GY-GPS6MV2, uma solução de alta precisão para projetos eletrônicos e de automação. Compatível com Arduino,.","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/10x-modulo-gps-ublox-gy-gps6mv2-para-arduino-drone-e-esp-mlb3963960643/","4",""
"dist\produtos\10x-varistor-14k-250vac-s14d391-14d391k250vac-uso-geral-mlb4669565005\index.html","10x Varistor 14k 250vac (s14d391 / 14d391k250vac) Uso Geral | OMEGAIMPORTS","VARISTOR &quot;Voltage Dependent Resistor&quot; (VDR) é um componente eletrônico que diminui a resistência conforme a tensão aumenta, muito utilizado na eletrônica para proteger.","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/10x-varistor-14k-250vac-s14d391-14d391k250vac-uso-geral-mlb4669565005/","4",""
"dist\produtos\2-modulos-rele-1-canal-5-v-10-a-para-projetos-arduino-e-iot-mlb3963883507\index.html","2 Módulos Relé 1 Canal 5 V/10 A para Projetos Arduino e Iot | OMEGAIMPORTS","Kit com 2 módulos relé de 1 canal, ideais para projetos com Arduino, Raspberry Pi, PIC e outros microcontroladores. Cada módulo opera com tensão de 5 V e suporta cargas.","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/2-modulos-rele-1-canal-5-v-10-a-para-projetos-arduino-e-iot-mlb3963883507/","4",""
"dist\produtos\3x-filtro-supressor-de-ruidos-eicos-k-8-para-contatores-220-v-mlb4669565379\index.html","3x Filtro Supressor de Ruídos Eicos K-8 para Contatores 220 V | OMEGAIMPORTS","O Filtro Supressor de Ruídos K-8 da Eicos é uma solução eficiente para minimizar ruídos e interferências gerados por contatores e dispositivos elétricos. Ideal para.","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/3x-filtro-supressor-de-ruidos-eicos-k-8-para-contatores-220-v-mlb4669565379/","4",""
"dist\produtos\3x-kit-esp32-sim800l-modulo-sem-fio-gprs-t-call-antena-mlb5288925380\index.html","3x Kit ESP32 SIM800L Módulo Sem Fio Gprs T-call + Antena | OMEGAIMPORTS","Kit 3 Un Consulte o catálogo técnico da OMEGAIMPORTS e confirme as condições no anúncio oficial do Mercado Livre.","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/3x-kit-esp32-sim800l-modulo-sem-fio-gprs-t-call-antena-mlb5288925380/","4",""
"dist\produtos\40x-chave-micro-switch-kw1-103-15-a-125vac-16-a-250vac-preto-mlb4669478861\index.html","40x Chave Micro Switch Kw1-103 15 A 125vac / 16 A 250vac Preto | OMEGAIMPORTS","O Kit com 40 Chaves Micro Switch KW1-103 é ideal para diversas aplicações elétricas e eletrônicas que exigem alta confiabilidade e durabilidade. Esses micro switches.","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/40x-chave-micro-switch-kw1-103-15-a-125vac-16-a-250vac-preto-mlb4669478861/","4",""
"dist\produtos\50-lacres-de-seguranca-amarelos-com-arame-aco-30cm-numerados-amarelo-mlb5272672830\index.html","50 Lacres de Segurança Amarelos com Arame Aço 30cm Numerados… | OMEGAIMPORTS","O Kit com 50 Lacres Amarelos de 30cm com Arame de Aço Numerados oferece segurança e praticidade para selagem e identificação de produtos e materiais. Ideal para uso em.","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/50-lacres-de-seguranca-amarelos-com-arame-aco-30cm-numerados-amarelo-mlb5272672830/","4",""
"dist\produtos\50x-varistor-14k-250vac-s14d391-14d391k250vac-uso-geral-mlb4669505143\index.html","50x Varistor 14k 250vac (s14d391 / 14d391k250vac) Uso Geral | OMEGAIMPORTS","O Kit com 50 Varistores 14K 250VAC S14D391 / 14D391K250VAC é ideal para proteção de circuitos contra surtos e picos de tensão. Esses varistores são componentes.","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/50x-varistor-14k-250vac-s14d391-14d391k250vac-uso-geral-mlb4669505143/","4",""
"dist\produtos\bateria-para-notebook-acer-aspire-ap18c8k-4471-mah-original-preto-mlb7141642274\index.html","Bateria para Notebook Acer Aspire Ap18c8k 4471 Mah Original… | OMEGAIMPORTS","Bateria para Notebook Acer Aspire Ap18c8k 4471 Mah Original Preto","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/bateria-para-notebook-acer-aspire-ap18c8k-4471-mah-original-preto-mlb7141642274/","4",""
"dist\produtos\carcaca-acer-aspire-5-a515-54-prateado-mlb4508250345\index.html","Carcaça Acer Aspire 5 A515-54 Prateado | OMEGAIMPORTS","Carcaça Acer Aspire 5 A515-54 Consulte o catálogo técnico da OMEGAIMPORTS e confirme as condições no anúncio oficial do Mercado Livre.","https://luscaarmstrong1.github.io/omegaimports-catalogo/produtos/carcaca-acer-aspire-5-a515-54-prateado-mlb4508250345/","4",""
