mlbId,title,label,value,severity,issue
"MLB3963907335","Mini fonte 5 V 3 W Conversor AC/dc 310 V Compacta e Eficiente Preto","Motivo de GTIN vazio","Outro motivo","warning","placeholder Outro motivo"
"MLB6747664468","Gerador de Função Minipa 2mhz Mfg-4202 A Portátil Manual 2kg","Motivo de GTIN vazio","Outro motivo","warning","placeholder Outro motivo"
"MLB4508250345","Carcaça Acer Aspire 5 A515-54 Prateado","Motivo de GTIN vazio","Outro motivo","warning","placeholder Outro motivo"
"MLB4669500229","Fonte de Alimentação DC Variável Bancada Hikari 3 A Hf-3203s","Motivo de GTIN vazio","Outro motivo","warning","placeholder Outro motivo"
"MLB5272672830","50 Lacres de Segurança Amarelos com Arame Aço 30cm Numerados Amarelo","Motivo de GTIN vazio","Outro motivo","warning","placeholder Outro motivo"
"MLB4051985849","Kit 10x Módulos ESP32 Ttgo T-call SIM800L + Antena (novo)","Motivo de GTIN vazio","Outro motivo","warning","placeholder Outro motivo"
"MLB6747664364","Gerador de Função Minipa 2mhz Mfg-4202 A Portátil Manual 2kg","Motivo de GTIN vazio","Outro motivo","warning","placeholder Outro motivo"
"MLB5375724278","Kit 5x Módulos ESP32 Ttgo T-call SIM800L + Antena (novo)","Motivo de GTIN vazio","Outro motivo","warning","placeholder Outro motivo"
"MLB4417997973","Kit 2x Módulos ESP32 Ttgo T-call SIM800L + Antena (novo)","Motivo de GTIN vazio","Outro motivo","warning","placeholder Outro motivo"
"MLB5375698778","Kit 10x Módulos ESP32 Ttgo T-call SIM800L + Antena (novo)","Motivo de GTIN vazio","Outro motivo","warning","placeholder Outro motivo"
"MLB5375622238","Kit 20x Módulos ESP32 Ttgo T-call SIM800L + Antena (novo)","Motivo de GTIN vazio","Outro motivo","warning","placeholder Outro motivo"
"MLB6747662378","Fonte de Alimentação DC Variável Bancada Hikari 3 A Hf-3203s","Motivo de GTIN vazio","Outro motivo","warning","placeholder Outro motivo"
"MLB4051929221","Kit 20x Módulos ESP32 Ttgo T-call SIM800L + Antena","Motivo de GTIN vazio","Outro motivo","warning","placeholder Outro motivo"
"MLB7070502622","Módulo de Comunicação Ttgo T-call, SIM800L Lilygo (aberto)","Motivo de GTIN vazio","Outro motivo","warning","placeholder Outro motivo"
"MLB7070500932","Placa de Comunicação Lilygo com ESP32 Ttgo T-call SIM800L","Motivo de GTIN vazio","Outro motivo","warning","placeholder Outro motivo"
"MLB7141642274","Bateria para Notebook Acer Aspire Ap18c8k 4471 Mah Original Preto","Motivo de GTIN vazio","Outro motivo","warning","placeholder Outro motivo"
